Iteration,Best_Fitness_RMSE
1,1934.8320157170597
2,1879.7470914910405
3,1857.6393113342435
4,1857.6393113342435
5,1857.6393113342435
6,1857.6393113342435
7,1857.6393113342435
8,1857.6393113342435
9,1857.6393113342435
10,1857.6393113342435
11,1857.6393113342435
12,1857.6393113342435
13,1857.6393113342435
14,1857.6393113342435
15,1857.6393113342435
16,1857.6393113342435
17,1787.8125252809507
18,1787.8125252809507
19,1787.8125252809507
20,1787.8125252809507
21,1787.8125252809507
22,1771.4457405503395
23,1771.4457405503395
24,1771.4457405503395
25,1771.4457405503395
26,1771.4457405503395
27,1771.4457405503395
28,1771.4457405503395
29,1771.4457405503395
30,1771.4457405503395
