Market_Name,District_Name,Supply_Chain_Cluster,Cluster_Label
Rongjeng,East Garo Hills,0,Low Priority Market
Adokgiri,East Garo Hills,1,Medium Priority Market
Kharkutta,East Garo Hills,0,Low Priority Market
Bajengdoba,East Garo Hills,2,High Priority Market
Mendipathar,East Garo Hills,2,High Priority Market
Rongsak,East Garo Hills,2,High Priority Market
Samanda,East Garo Hills,2,High Priority Market
Williamnagar,East Garo Hills,2,High Priority Market
Songsak,East Garo Hills,1,Medium Priority Market
Laitlyngkot,East Khasi Hills,0,Low Priority Market
Mawngap,East Khasi Hills,2,High Priority Market
Sohiong,East Khasi Hills,2,High Priority Market
Mawryngkneng,East Khasi Hills,2,High Priority Market
Smit,East Khasi Hills,2,High Priority Market
Mawsynram,East Khasi Hills,0,Low Priority Market
Tyrsad,East Khasi Hills,2,High Priority Market
Iewduh(Shillong),East Khasi Hills,1,Medium Priority Market
Mawiong Regulated Market,East Khasi Hills,1,Medium Priority Market
Pynursla,East Khasi Hills,1,Medium Priority Market
Shella,East Khasi Hills,0,Low Priority Market
Dawki,Jaintia Hills,2,High Priority Market
Khliehriat,Jaintia Hills,2,High Priority Market
Umkiang,Jaintia Hills,2,High Priority Market
Raliang,Jaintia Hills,0,Low Priority Market
Shangpung,Jaintia Hills,2,High Priority Market
Jowai,Jaintia Hills,1,Medium Priority Market
Khanduli,Jaintia Hills,0,Low Priority Market
Nartiang,Jaintia Hills,2,High Priority Market
Wahiajer,Jaintia Hills,1,Medium Priority Market
Jirang,Ri-Bhoi,2,High Priority Market
Patharkhmah,Ri-Bhoi,0,Low Priority Market
20th Mile,Ri-Bhoi,0,Low Priority Market
Byrnihat,Ri-Bhoi,1,Medium Priority Market
Nongpoh,Ri-Bhoi,1,Medium Priority Market
Umden,Ri-Bhoi,1,Medium Priority Market
Umroi,Ri-Bhoi,0,Low Priority Market
Umsning,Ri-Bhoi,1,Medium Priority Market
Emangiri,South Garo Hills,2,High Priority Market
Sibbari,South Garo Hills,1,Medium Priority Market
Chokpot,South Garo Hills,1,Medium Priority Market
Maheshkhola,South Garo Hills,2,High Priority Market
Ronggara,South Garo Hills,0,Low Priority Market
Ampati,West Garo Hills,1,Medium Priority Market
Dadenggiri,West Garo Hills,1,Medium Priority Market
Romagal,West Garo Hills,0,Low Priority Market
Dalu,West Garo Hills,0,Low Priority Market
Purakhasia,West Garo Hills,0,Low Priority Market
Rongram,West Garo Hills,0,Low Priority Market
Tura,West Garo Hills,1,Medium Priority Market
Garobadha Regulated Market,West Garo Hills,2,High Priority Market
Raksamgiri,West Garo Hills,2,High Priority Market
Tikrikilla,West Garo Hills,0,Low Priority Market
Kalaichar,West Garo Hills,2,High Priority Market
Mahendraganj,West Garo Hills,2,High Priority Market
Kynshi,West Khasi Hills,2,High Priority Market
Mairang,West Khasi Hills,0,Low Priority Market
Mawkyrwat,West Khasi Hills,1,Medium Priority Market
Riangdo,West Khasi Hills,2,High Priority Market
Shallang,West Khasi Hills,0,Low Priority Market
Nongstoin,West Khasi Hills,2,High Priority Market
Rambrai,West Khasi Hills,1,Medium Priority Market
Balat,West Khasi Hills,1,Medium Priority Market
